Price,High,Low,Close,Volume
Ticker,SBER.ME,SBER.ME,SBER.ME,SBER.ME
Date,,,,
2017-02-07,127.72290913274652,125.76504974672865,127.20228576660156,33506030
2017-02-08,127.00431277313523,125.22244467111918,125.53775024414062,33314367
2017-02-09,126.61565706908648,123.07390770921495,123.77786254882812,48732000
2017-02-10,124.98777959572526,121.28470725960484,121.35803985595703,59337102
2017-02-13,122.49462332926046,119.89147290304906,120.77140808105469,53028392
2017-02-14,121.0940478724405,118.79887430745846,119.30484008789062,54466800
2017-02-15,121.40936153660606,117.32498028956422,119.89146423339844,68809530
2017-02-16,122.09132841827245,118.945556771369,122.08399963378906,44328983
2017-02-17,122.54595644203398,120.56609934485721,121.35071563720703,32616910
2017-02-20,122.23065799378737,120.20679450599238,121.31405639648438,26986371
2017-02-21,123.4698936861276,120.84474561237563,122.45796203613281,39649889
2017-02-22,123.41122585935949,120.51476741203918,121.6513442993164,40663164
2017-02-24,123.2059224876636,121.01340745575654,121.3653793334961,29704825
2017-02-27,121.97400742023794,117.77963753507468,118.02162170410156,41947389
2017-02-28,118.19760773905243,114.17188960555882,114.39187622070312,67919290
2017-03-01,117.99959899148962,114.13520427417825,117.32498168945312,62259015
2017-03-02,120.4780978857544,117.56697075982389,119.8181381225586,65453580
2017-03-03,120.91074923143987,118.50558753969999,120.55143737792969,38243210
2017-03-06,121.71735339976752,118.7915573120117,118.79155731201172,36845090
2017-03-07,119.09219990222397,116.51837578276738,118.0436019897461,44867012
2017-03-09,117.94093726583759,113.82722957427062,114.53851318359375,63698320
2017-03-10,116.88502831869272,114.06190218228389,115.4917984008789,51297761
2017-03-13,117.2296654606882,114.28921178649506,116.53305053710938,34087371
2017-03-14,117.87495616321031,115.13982034440701,115.4331283569336,59200295
2017-03-15,117.08299966457804,114.43585427034002,114.53851318359375,48858401
2017-03-16,117.21500358039812,115.72644364859933,116.11508178710938,68322522
2017-03-17,119.41484563457566,115.98308386528188,118.16825866699219,65470090
2017-03-20,120.29479339919466,117.77230406494496,120.1114730834961,41497340
2017-03-21,121.35070525732223,118.97487023053992,119.51016235351562,39831930
2017-03-22,119.46617126464844,117.14167121299039,119.46617126464844,40877370
2017-03-23,120.87407650083684,118.86489307109139,120.36811065673828,38722221
2017-03-24,121.65134764117408,119.57617167379368,120.6394271850586,33041262
2017-03-27,119.79614935753385,118.13160904383223,119.29752349853516,35418714
2017-03-28,120.33144984071988,118.82822113736255,120.00880432128906,30489220
2017-03-29,120.91807196811585,119.06287132652999,119.68616485595703,26161370
2017-03-30,120.33143738507712,118.71820995490998,119.89146423339844,24411750
2017-03-31,120.03813709518792,116.96568690052042,117.1783447265625,31639980
2017-04-03,119.48084524383505,117.20766895833519,118.64490509033203,32726450
2017-04-04,120.22143850266643,117.83827484053467,119.89146423339844,23333240
2017-04-05,123.52120620061314,120.12612211977805,123.26456451416016,57753880
2017-04-06,123.33056295771814,122.02532335769368,122.81726837158203,24424520
2017-04-07,122.34062717974717,117.84562123591132,118.4175796508789,59739011
2017-04-10,117.22232979810612,113.29927101233267,113.80523681640625,73718431
2017-04-11,116.29107199311376,113.37261571988572,114.39187622070312,53342102
2017-04-12,115.44780641112847,110.19750976562499,110.197509765625,53279801
2017-04-13,112.448674310734,109.77219126934774,111.458740234375,70013641
2017-04-14,111.64207092300028,108.9655988214579,109.43489837646484,25092430
2017-04-17,113.07195916605947,108.24696751185508,112.91797637939453,48418110
2017-04-18,114.09121625072252,111.56872719819263,112.4853286743164,60882607
2017-04-19,113.9372435060485,111.72273101172723,112.63200378417969,38965390
2017-04-20,116.15174231859983,111.64939601542466,116.0124282836914,64127431
2017-04-21,117.54497997922046,115.71177695767611,117.02434539794922,57187320
2017-04-24,119.84012629761432,118.05825857309195,119.1581802368164,48021400
2017-04-25,119.91348249063708,118.28559721273614,119.19486999511719,40534610
2017-04-26,121.57802179770556,118.57156448619187,121.02806091308594,49261630
2017-04-27,121.57068647722411,119.722825890256,120.76408386230469,43712421
2017-04-28,121.7246657683193,120.19211091478466,121.1380386352539,40999810
2017-05-02,123.44055314424045,120.99872543282925,122.19397735595703,42498185
2017-05-03,122.09131594196454,119.9868025449409,120.77874755859375,33570362
2017-05-04,122.75126967478258,120.09679528378553,121.35803985595703,37623081
2017-05-05,122.16463768624529,120.2581023202102,121.57801055908203,35495640
2017-05-10,125.24443054199217,122.02532653840737,125.24443054199219,46474517
2017-05-11,126.41035007591847,123.8071994863708,124.63581085205078,56593680
2017-05-12,124.97311469639742,122.34797773850038,122.97126007080078,37355690
2017-05-15,125.88970854058365,123.11057777102988,125.64773559570312,47099900
2017-05-16,126.12437119860262,124.64313998533153,125.14177703857422,37206070
2017-05-17,125.11977771767559,123.31590099954244,124.10051727294922,35218265
2017-05-18,124.04918337884772,120.77141541093113,122.09132385253906,57482420
